NIRF_Rank,Institute,Placements_rating,Infrastructure_rating,Faculty_Course_Curriculum_rating,Crowd_Campus_Life_rating,Value_for_Money_rating,Learning_Experience_rating,Total_Reviews,Fees,Salary,Courses
38,SASTRA (Deemed to be University)4.,4.3,4.1,4.1,4.2,4.4,4.0,709.0,₹ 1.35 LakhSalary ,₹ 7.60 Lakh Not RankedIndia Today ,B.Tech
39,VNIT Nagpur - Visvesvaraya National Institute of Technology4.,3.8,4.1,4.0,4.4,4.1,0.0,382.0,₹ 5.00 LakhSalary ,₹ 8.27 Lakh 19India Today ,B.Tech
40,NIT Silchar - National Institute of Technology4.,4.1,4.1,3.9,4.4,4.2,0.0,366.0,₹ 5.00 LakhSalary ,₹ 10.00 Lakh 32India Today ,B.Tech
41,"Institute of Chemical Technology, Mumbai4.",4.1,4.3,4.6,4.4,4.5,0.0,78.0,"₹ 60,000Salary ",₹ 8.00 Lakh Not RankedIndia Today ,B.Tech
42,UPES4.,3.9,4.3,4.2,4.2,3.7,0.0,795.0,₹ 17.71 LakhSalary ,₹ 6.50 Lakh Not RankedIndia Today ,B.Tech
43,MNIT Jaipur - Malaviya National Institute of Technology4.,4.0,4.4,4.0,4.4,4.2,0.0,861.0,₹ 5.00 LakhSalary ,₹ 15.50 Lakh 18India Today ,B.Tech
44,NIT Durgapur - National Institute of Technology4.,4.0,3.8,3.9,4.3,4.1,0.0,646.0,₹ 5.00 LakhNot RankedIndia Today ,,B.Tech
45,NIT Delhi - National Institute of Technology3.,4.1,3.4,3.9,3.5,4.1,0.0,146.0,₹ 5.00 Lakh26India Today ,,B.Tech
46,SSN College of Engineering4.,4.4,4.7,4.3,4.7,4.5,0.0,159.0,₹ 2.00 LakhNot RankedIndia Today ,,B.Tech
47,"International Institute of Information Technology, Hyderabad4.",4.8,4.0,4.4,4.0,4.4,0.0,94.0,₹ 16.00 Lakh12India Today ,,B.Tech
48,"Birla Institute of Technology, Mesra3.",4.0,4.0,3.7,4.3,3.7,0.0,675.0,₹ 13.35 LakhSalary ,₹ 10.58 Lakh 16India Today ,B.Tech
49,IIEST Shibpur - Indian Institute of Engineering Science and Technology4.,3.8,3.8,4.2,4.5,4.2,0.0,372.0,₹ 5.00 LakhSalary ,₹ 8.50 Lakh Not RankedIndia Today ,B.Tech
50,LPU - Lovely Professional University4.,4.0,4.5,4.1,4.5,4.1,4.4,4434.0,₹ 11.20 LakhNot RankedIndia Today ,,B.Tech
51,IIST - Indian Institute of Space Science and Technology4.,3.7,4.3,4.4,3.6,4.6,0.0,57.0,₹ 6.25 LakhSalary ,₹ 10.50 Lakh Not RankedIndia Today ,B.Tech
52,Graphic Era Deemed to be University4.,3.9,4.3,4.3,4.2,3.9,4.0,759.0,₹ 14.80 LakhSalary ,₹ 7.25 Lakh Not RankedIndia Today ,B.Tech
53,"Saveetha Institute of Medical and Technical Sciences, Poonamallee4.",3.8,4.3,4.1,4.4,3.9,0.0,19.0,₹ 9.00 LakhSalary ,₹ 4.48 Lakh Not RankedIndia Today ,B.Tech
